Station id,Baseline Tree depth,Baseline Min samples split,Baseline Min samples leaf,Baseline Feature ratio,Modified Tree depth,Modified Min samples split,Modified Min samples leaf,Modified Feature ratio
2472500,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
2479155,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
2479300,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
2481000,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
2479560,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
2481510,8,4,4,0.6330242596481994,7,3,2,0.6353094161003328
3010655,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
3011800,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3015500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
3021350,5,4,1,0.6931595360241993,8,3,4,0.5791076592435124
3026500,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
3028000,5,4,1,0.6931595360241993,7,3,2,0.6353094161003328
3049000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3049800,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3076600,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3078000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3140000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3144000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3159540,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
3161000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
3164000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3165000,2,7,3,0.7575793759734148,2,3,4,0.6761429142764176
3170000,8,4,4,0.6330242596481994,5,6,2,0.5060088760622651
3173000,5,2,3,0.5282532043662949,5,6,2,0.5060088760622651
3237280,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3237500,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3241500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3291780,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3346000,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
3384450,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3439000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3455500,5,8,3,0.7358192915830861,7,3,2,0.6353094161003328
3456500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
3460000,5,2,3,0.5282532043662949,7,3,2,0.6353094161003328
3463300,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3471500,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
3473000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
3479000,5,2,3,0.5282532043662949,8,3,4,0.5791076592435124
3488000,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3498500,7,5,1,0.6351157813686702,5,6,2,0.5060088760622651
3500240,5,8,3,0.7358192915830861,8,3,4,0.5791076592435124
3500000,7,5,1,0.6351157813686702,8,7,2,0.6265998724541788
3504000,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
3574500,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
3604000,5,8,3,0.7358192915830861,2,3,4,0.6761429142764176
4015330,5,8,3,0.7358192915830861,5,6,2,0.5060088760622651
4024430,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
4027000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4040500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4043050,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4045500,7,5,1,0.6351157813686702,8,3,4,0.5791076592435124
4056500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4057510,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4057800,8,4,4,0.6330242596481994,8,7,2,0.6265998724541788
4059500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4063700,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4105700,7,5,1,0.6351157813686702,7,3,2,0.6353094161003328
4122200,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4122500,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
4124000,8,4,4,0.6330242596481994,8,3,4,0.5791076592435124
